Sampling_Date;Site;Sample;BorN;Substrate_ID;PrSub;Status;Frequency;ALength;Age;Substrate_Type;Position;Drill
14.07.2010;1;2010-1;6;2118;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;5;primary;primary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;6;primary;primary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;6;primary;primary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;6;primary;primary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;6;primary;primary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;6;primary;primary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;6;primary;primary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;1;15;6;primary;primary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;1;14;6;primary;primary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;6;primary;primary;1
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;3;11;6;primary;primary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;5;13;6;primary;primary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;1;14;6;primary;primary;0
14.07.2010;1;2010-1;6;2119;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;6;primary;primary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;empty_test;1;4;1;barnacle_empty_test;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;empty_test;1;7;2;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;empty_test;1;1.5;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;empty_test;1;1;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;empty_test;1;1;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;empty_test;1;4;1;live_barnacle;secondary;1
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;empty_test;1;6;2;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;empty_test;1;6;2;barnacle_empty_test;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;empty_test;1;13;6;primary;primary;1
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;empty_test;1;13;6;primary;primary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;empty_test;1;11;6;primary;primary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;1;other;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;1;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;7;2;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;6;2;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;5;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;1;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;2;other;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;6;1;other;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;1;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;6;primary;primary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;6;1;other;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;6;primary;primary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;5;1;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2120;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;6;primary;primary;0
